split,class,filepath,label_idx
train,background,data\processed\train\background\background_0106.jpg,0
train,background,data\processed\train\background\background_0239.jpg,0
train,background,data\processed\train\background\background_0037.jpg,0
train,background,data\processed\train\background\background_0089.jpg,0
train,background,data\processed\train\background\background_0032.jpg,0
train,background,data\processed\train\background\background_0250.jpg,0
train,background,data\processed\train\background\background_0192.jpg,0
train,background,data\processed\train\background\background_0120.jpg,0
train,background,data\processed\train\background\background_0019.jpg,0
train,background,data\processed\train\background\background_0225.jpg,0
train,background,data\processed\train\background\background_0024.jpg,0
train,background,data\processed\train\background\background_0295.jpg,0
train,background,data\processed\train\background\background_0103.jpg,0
train,background,data\processed\train\background\background_0220.jpg,0
train,background,data\processed\train\background\background_0205.jpg,0
train,background,data\processed\train\background\background_0297.jpg,0
train,background,data\processed\train\background\background_0291.jpg,0
train,background,data\processed\train\background\background_0038.jpg,0
train,background,data\processed\train\background\background_0158.jpg,0
train,background,data\processed\train\background\background_0173.jpg,0
train,background,data\processed\train\background\background_0245.jpg,0
train,background,data\processed\train\background\background_0001.jpg,0
train,background,data\processed\train\background\background_0224.jpg,0
train,background,data\processed\train\background\background_0251.jpg,0
train,background,data\processed\train\background\background_0144.jpg,0
train,background,data\processed\train\background\background_0133.jpg,0
train,background,data\processed\train\background\background_0246.jpg,0
train,background,data\processed\train\background\background_0206.jpg,0
train,background,data\processed\train\background\background_0086.jpg,0
train,background,data\processed\train\background\background_0005.jpg,0
train,background,data\processed\train\background\background_0283.jpg,0
train,background,data\processed\train\background\background_0123.jpg,0
train,background,data\processed\train\background\background_0190.jpg,0
train,background,data\processed\train\background\background_0034.jpg,0
train,background,data\processed\train\background\background_0231.jpg,0
train,background,data\processed\train\background\background_0181.jpg,0
train,background,data\processed\train\background\background_0252.jpg,0
train,background,data\processed\train\background\background_0107.jpg,0
train,background,data\processed\train\background\background_0115.jpg,0
train,background,data\processed\train\background\background_0048.jpg,0
train,background,data\processed\train\background\background_0253.jpg,0
train,background,data\processed\train\background\background_0242.jpg,0
train,background,data\processed\train\background\background_0276.jpg,0
train,background,data\processed\train\background\background_0073.jpg,0
train,background,data\processed\train\background\background_0268.jpg,0
train,background,data\processed\train\background\background_0100.jpg,0
train,background,data\processed\train\background\background_0261.jpg,0
train,background,data\processed\train\background\background_0159.jpg,0
train,background,data\processed\train\background\background_0208.jpg,0
train,background,data\processed\train\background\background_0055.jpg,0
train,background,data\processed\train\background\background_0006.jpg,0
train,background,data\processed\train\background\background_0269.jpg,0
train,background,data\processed\train\background\background_0026.jpg,0
train,background,data\processed\train\background\background_0233.jpg,0
train,background,data\processed\train\background\background_0113.jpg,0
train,background,data\processed\train\background\background_0139.jpg,0
train,background,data\processed\train\background\background_0153.jpg,0
train,background,data\processed\train\background\background_0105.jpg,0
train,background,data\processed\train\background\background_0284.jpg,0
train,background,data\processed\train\background\background_0189.jpg,0
train,background,data\processed\train\background\background_0232.jpg,0
train,background,data\processed\train\background\background_0243.jpg,0
train,background,data\processed\train\background\background_0046.jpg,0
train,background,data\processed\train\background\background_0256.jpg,0
train,background,data\processed\train\background\background_0228.jpg,0
train,background,data\processed\train\background\background_0217.jpg,0
train,background,data\processed\train\background\background_0236.jpg,0
train,background,data\processed\train\background\background_0132.jpg,0
train,background,data\processed\train\background\background_0065.jpg,0
train,background,data\processed\train\background\background_0207.jpg,0
